number of samples in the range,,latency range lower bound,latency range upper bound,
1,0,1334.22,1358.08612244897,1.33
2,0,1358.08612244897,1381.95224489795,1.36
0,0,1381.95224489795,1405.81836734693,1.38
0,0,1405.81836734693,1429.68448979591,1.41
0,0,1429.68448979591,1453.55061224489,1.43
0,0,1453.55061224489,1477.41673469387,1.45
0,0,1477.41673469387,1501.28285714285,1.48
0,0,1501.28285714285,1525.14897959183,1.5
0,0,1525.14897959183,1549.01510204081,1.53
0,0,1549.01510204081,1572.88122448979,1.55
0,0,1572.88122448979,1596.74734693877,1.57
0,0,1596.74734693877,1620.61346938775,1.6
1,0,1620.61346938775,1644.47959183673,1.62
12,0,1644.47959183673,1668.34571428571,1.64
83,0.002,1668.34571428571,1692.21183673469,1.67
338,0.008,1692.21183673469,1716.07795918367,1.69
947,0.021,1716.07795918367,1739.94408163265,1.72
1486,0.033,1739.94408163265,1763.81020408163,1.74
1038,0.023,1763.81020408163,1787.67632653061,1.76
391,0.009,1787.67632653061,1811.54244897959,1.79
194,0.004,1811.54244897959,1835.40857142857,1.81
355,0.008,1835.40857142857,1859.27469387755,1.84
970,0.022,1859.27469387755,1883.14081632653,1.86
1998,0.044,1883.14081632653,1907.00693877551,1.88
4711,0.105,1907.00693877551,1930.87306122449,1.91
10785,0.24,1930.87306122449,1954.73918367346,1.93
10799,0.24,1954.73918367346,1978.60530612244,1.95
5041,0.112,1978.60530612244,2002.47142857142,1.98
2017,0.045,2002.47142857142,2026.3375510204,2
1015,0.023,2026.3375510204,2050.20367346938,2.03
652,0.015,2050.20367346938,2074.06979591836,2.05
541,0.012,2074.06979591836,2097.93591836734,2.07
414,0.009,2097.93591836734,2121.80204081632,2.1
343,0.008,2121.80204081632,2145.6681632653,2.12
244,0.005,2145.6681632653,2169.53428571428,2.15
140,0.003,2169.53428571428,2193.40040816326,2.17
107,0.002,2193.40040816326,2217.26653061224,2.19
88,0.002,2217.26653061224,2241.13265306122,2.22
71,0.002,2241.13265306122,2264.9987755102,2.24
59,0.001,2264.9987755102,2288.86489795918,2.26
31,0.001,2288.86489795918,2312.73102040816,2.29
26,0.001,2312.73102040816,2336.59714285714,2.31
18,0,2336.59714285714,2360.46326530612,2.34
6,0,2360.46326530612,2384.3293877551,2.36
2,0,2384.3293877551,2408.19551020408,2.38
0,0,2408.19551020408,2432.06163265306,2.41
7,0,2432.06163265306,2455.92775510204,2.43
5,0,2455.92775510204,2479.79387755102,2.46
8,0,2479.79387755102,2479.79387755102,2.48
